Koordinatat e Katit 1 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7513942.762,4693515.060,622.633,Kati 1,Shtëpi-Ndërtesë,PM
2,7513923.293,4693503.356,622.648,Kati 1,Shtëpi-Ndërtesë,PM
3,7513923.546,4693502.904,622.654,Kati 1,Shtëpi-Ndërtesë,PM
4,7513924.137,4693503.220,622.659,Kati 1,Shtëpi-Ndërtesë,PM
5,7513924.998,4693501.568,622.661,Kati 1,Shtëpi-Ndërtesë,PM
6,7513924.390,4693501.245,622.642,Kati 1,Shtëpi-Ndërtesë,PM
7,7513926.157,4693497.903,622.654,Kati 1,Shtëpi-Ndërtesë,PM
8,7513926.772,4693498.217,622.658,Kati 1,Shtëpi-Ndërtesë,PM
9,7513927.701,4693496.451,622.654,Kati 1,Shtëpi-Ndërtesë,PM
10,7513927.089,4693496.125,622.647,Kati 1,Shtëpi-Ndërtesë,PM
11,7513930.376,4693489.866,622.654,Kati 1,Shtëpi-Ndërtesë,PM
12,7513930.980,4693490.185,622.658,Kati 1,Shtëpi-Ndërtesë,PM
13,7513932.203,4693487.884,622.654,Kati 1,Shtëpi-Ndërtesë,PM
14,7513931.619,4693487.579,622.652,Kati 1,Shtëpi-Ndërtesë,PM
15,7513933.319,4693484.310,622.642,Kati 1,Shtëpi-Ndërtesë,PM
16,7513933.925,4693484.608,622.646,Kati 1,Shtëpi-Ndërtesë,PM
17,7513934.578,4693483.377,622.652,Kati 1,Shtëpi-Ndërtesë,PM
18,7513933.980,4693483.057,622.638,Kati 1,Shtëpi-Ndërtesë,PM
19,7513935.326,4693480.487,622.649,Kati 1,Shtëpi-Ndërtesë,PM
20,7513939.368,4693482.606,622.646,Kati 1,Shtëpi-Ndërtesë,PM
21,7513939.268,4693482.785,622.662,Kati 1,Shtëpi-Ndërtesë,PM
22,7513940.347,4693483.351,622.662,Kati 1,Shtëpi-Ndërtesë,PM
23,7513940.450,4693483.166,622.656,Kati 1,Shtëpi-Ndërtesë,PM
24,7513944.872,4693485.495,622.658,Kati 1,Shtëpi-Ndërtesë,PM
25,7513944.785,4693485.684,622.657,Kati 1,Shtëpi-Ndërtesë,PM
26,7513945.578,4693486.103,622.660,Kati 1,Shtëpi-Ndërtesë,PM
27,7513945.680,4693485.917,622.639,Kati 1,Shtëpi-Ndërtesë,PM
28,7513949.551,4693487.959,622.647,Kati 1,Shtëpi-Ndërtesë,PM
29,7513949.469,4693488.135,622.662,Kati 1,Shtëpi-Ndërtesë,PM
30,7513950.354,4693488.605,622.672,Kati 1,Shtëpi-Ndërtesë,PM
31,7513950.447,4693488.430,622.662,Kati 1,Shtëpi-Ndërtesë,PM
32,7513955.400,4693491.051,622.652,Kati 1,Shtëpi-Ndërtesë,PM
