Koordinatat e Përdhesa të ekzekutuara,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511949.525,4692300.872,618.146,Përdhesa,Shtëpi-Ndërtesë,PM
2,7511942.195,4692295.044,618.146,Përdhesa,Shtëpi-Ndërtesë,PM
3,7511939.804,4692298.052,618.156,Përdhesa,Shtëpi-Ndërtesë,PM
4,7511939.055,4692297.475,618.127,Përdhesa,Shtëpi-Ndërtesë,PM
5,7511932.146,4692306.042,618.060,Përdhesa,Shtëpi-Ndërtesë,PM
6,7511964.867,4692332.351,618.156,Përdhesa,Shtëpi-Ndërtesë,PM
7,7511976.077,4692318.378,618.133,Përdhesa,Shtëpi-Ndërtesë,PM
8,7511951.376,4692298.544,618.133,Përdhesa,Shtëpi-Ndërtesë,PM
9,7511951.889,4692298.750,618.140,Përdhesa,Shtëpi-Ndërtesë,PM
10,7511966.502,4692310.451,618.140,Përdhesa,Shtëpi-Ndërtesë,PM
11,7511975.814,4692298.819,618.113,Përdhesa,Shtëpi-Ndërtesë,PM
12,7511967.496,4692292.122,618.136,Përdhesa,Shtëpi-Ndërtesë,PM
13,7511968.912,4692290.366,618.110,Përdhesa,Shtëpi-Ndërtesë,PM
14,7511963.395,4692285.883,618.131,Përdhesa,Shtëpi-Ndërtesë,PM
15,7511952.839,4692298.993,618.145,Përdhesa,Shtëpi-Ndërtesë,PM
16,7511952.142,4692298.435,618.140,Përdhesa,Shtëpi-Ndërtesë,PM
