Koordinatat e Përdhesa të projektuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511949.535,4692300.914,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
2,7511942.246,4692295.059,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
3,7511939.803,4692298.100,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
4,7511939.063,4692297.505,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
5,7511932.175,4692306.082,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
6,7511964.843,4692332.319,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
7,7511976.052,4692318.363,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
8,7511951.414,4692298.575,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
9,7511951.898,4692298.772,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
10,7511966.439,4692310.450,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
11,7511975.781,4692298.818,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
12,7511967.454,4692292.131,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
13,7511968.898,4692290.332,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
14,7511963.347,4692285.874,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
15,7511952.811,4692298.992,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
16,7511952.148,4692298.460,0.000,Përdhesa,Shtëpi-Ndërtesë,PP
