Koordinatat e B 1 të projektuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
1,7511930.783,4692307.016,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
2,7511938.829,4692296.997,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
3,7511939.726,4692297.717,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
4,7511942.794,4692293.897,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
5,7511945.835,4692296.339,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
6,7511946.931,4692294.975,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
8,7511976.091,4692318.394,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
9,7511963.88,4692333.598,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
10,7511948.152,4692293.454,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
11,7511954.267,4692292.787,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
12,7511955.086,4692293.444,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
13,7511963.927,4692282.436,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
14,7511979.91,4692295.273,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
15,7511970.881,4692306.515,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
16,7511973.922,4692308.957,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
17,7511975.052,4692310.978,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
18,7511972.637,4692315.428,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
19,7511947.025,4692294.858,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
20,7511974.422,4692313.206,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
21,7511951.071,4692291.854,0,Bodrumi 1,Shtëpi-Ndërtesë,PP
