Koordinatat e Katit 7 të ekzekutuar,,,,,,
Nr,Y,X,H,Kodi,Përshkrimi,Burimi
2,7511951.528,4692298.489,639.721,Kati 7,Shtëpi-Ndërtesë,PM
3,7511954.134,4692295.182,639.751,Kati 7,Shtëpi-Ndërtesë,PM
4,7511953.864,4692294.971,639.746,Kati 7,Shtëpi-Ndërtesë,PM
5,7511955.642,4692292.706,639.724,Kati 7,Shtëpi-Ndërtesë,PM
6,7511956.983,4692293.770,639.793,Kati 7,Shtëpi-Ndërtesë,PM
7,7511963.388,4692285.930,639.712,Kati 7,Shtëpi-Ndërtesë,PM
8,7511968.927,4692290.410,639.701,Kati 7,Shtëpi-Ndërtesë,PM
9,7511967.484,4692292.164,639.808,Kati 7,Shtëpi-Ndërtesë,PM
10,7511970.850,4692294.836,639.855,Kati 7,Shtëpi-Ndërtesë,PM
11,7511970.294,4692295.548,639.814,Kati 7,Shtëpi-Ndërtesë,PM
12,7511975.256,4692299.475,639.762,Kati 7,Shtëpi-Ndërtesë,PM
13,7511969.556,4692306.546,639.746,Kati 7,Shtëpi-Ndërtesë,PM
14,7511969.862,4692306.797,639.749,Kati 7,Shtëpi-Ndërtesë,PM
15,7511967.624,4692309.628,639.788,Kati 7,Shtëpi-Ndërtesë,PM
16,7511966.332,4692308.606,639.711,Kati 7,Shtëpi-Ndërtesë,PM
17,7511965.487,4692309.702,639.732,Kati 7,Shtëpi-Ndërtesë,PM
18,7511942.293,4692295.091,639.789,Kati 7,Shtëpi-Ndërtesë,PM
19,7511942.541,4692295.300,639.789,Kati 7,Shtëpi-Ndërtesë,PM
20,7511943.281,4692294.373,639.705,Kati 7,Shtëpi-Ndërtesë,PM
21,7511946.262,4692296.717,639.706,Kati 7,Shtëpi-Ndërtesë,PM
22,7511945.514,4692297.668,639.719,Kati 7,Shtëpi-Ndërtesë,PM
23,7511949.593,4692300.869,639.778,Kati 7,Shtëpi-Ndërtesë,PM
24,7511951.422,4692298.641,639.759,Kati 7,Shtëpi-Ndërtesë,PM
25,7511965.407,4692309.776,639.680,Kati 7,Shtëpi-Ndërtesë,PM
26,7511964.634,4692310.783,639.780,Kati 7,Shtëpi-Ndërtesë,PM
27,7511975.307,4692319.322,639.803,Kati 7,Shtëpi-Ndërtesë,PM
28,7511964.847,4692332.346,639.801,Kati 7,Shtëpi-Ndërtesë,PM
29,7511932.187,4692306.098,639.817,Kati 7,Shtëpi-Ndërtesë,PM
30,7511939.106,4692297.451,639.817,Kati 7,Shtëpi-Ndërtesë,PM
31,7511939.847,4692298.046,639.789,Kati 7,Shtëpi-Ndërtesë,PM
